OBJECTID,NETWORK,TYPE,NAME, len , total traffic 2015 , total trucks 2015 , bus km 2015 , 5 year accidents , traffic lights , base case - current ,no trucks, dist_grow by trend , dist_grow by 20% , dist_decline by 20%  
4001,PBN & MTN,On Road,, 113.2 , 311 , 31 , 30.4 ,0,0, 158.34 , 143.54 , 158.54 , 160.61 , 155.42 
4002,PBN & MTN,On Road,, 607.7 , -   , -   , -   ,0,0, 607.66 , 607.66 , 607.66 , 607.66 , 607.66 
4003,PBN & MTN,On Road,, 555.4 , -   , -   , -   ,0,0, 555.38 , 555.38 , 555.38 , 555.38 , 555.38 
4004,PBN & MTN,On Road,," 3,338.4 "," 1,048 ", 77 , 18.2 ,0,0," 3,356.88 "," 3,356.88 "," 3,356.88 "," 3,356.88 "," 3,356.88 "
4005,PBN & MTN,On Road,, 315.9 , -   , -   , -   ,0,0, 315.90 , 315.90 , 315.90 , 315.90 , 315.90 
4006,PBN & MTN,On Road,, 38.1 , 349 , 12 , 38.4 ,0,0, 87.20 , 76.27 , 87.32 , 87.83 , 86.40 
4007,PBN & MTN,On Road,, 10.1 , 536 , 21 , 18.2 ,2,0, 34.14 , 28.95 , 34.12 , 34.55 , 33.59 
4008,PBN & MTN,On Road,, 25.0 , 399 , 12 , 42.7 ,0,0, 59.07 , 50.10 , 59.03 , 59.44 , 58.59 
4009,PBN & MTN,On Road,, 133.5 ," 4,965 ", 331 , 155.1 ,0,1, 353.76 , 291.27 , 353.38 , 359.24 , 346.54 
4010,PBN & MTN,On Road,, 293.2 , 480 , 10 , 17.9 ,0,0, 329.82 , 311.12 , 329.90 , 336.15 , 321.65 
4011,PBN & MTN,On Road,, 56.4 ," 7,264 ", 272 , 145.2 ,0,0, 166.01 , 130.55 , 165.64 , 167.86 , 163.58 
4012,PBN & MTN,On Road,, 310.3 ," 13,240 "," 1,324 ", 337.1 ,0,0, 861.61 , 710.83 , 864.33 , 873.05 , 846.57 
4013,PBN & MTN,On Road,, 71.1 ," 3,027 ", 387 , -   ,0,0, 129.76 , 95.23 , 129.69 , 132.26 , 126.47 
4014,PBN & MTN,On Road,, 18.5 , -   , -   , -   ,0,0, 18.48 , 18.48 , 18.48 , 18.48 , 18.48 
4015,PBN & MTN,On Road,, 691.5 , -   , -   , -   ,0,0, 691.53 , 691.53 , 691.53 , 691.53 , 691.53 
4016,PBN & MTN,On Road,, 102.7 , 167 , 12 , -   ,0,0, 109.18 , 102.72 , 109.27 , 111.40 , 106.31 
4017,PBN & MTN,On Road,, 100.6 , 486 , 47 , 23.6 ,0,0, 144.79 , 124.27 , 144.83 , 146.64 , 142.41 
4018,PBN & MTN,On Road,, 45.0 , -   , -   , -   ,0,0, 44.99 , 44.99 , 44.99 , 44.99 , 44.99 
4019,PBN & MTN,On Road,, 27.7 ," 6,989 ", 566 , 88.4 ,0,0, 91.90 , 72.09 , 92.01 , 92.47 , 91.16 
4020,PBN & MTN,On Road,, 38.5 ," 1,834 ", -   , -   ,0,0, 57.72 , 38.47 , 57.67 , 58.16 , 57.15 
4021,PBN & MTN,On Road,, 208.3 ," 23,015 "," 1,510 ", 289.6 ,0,0, 626.06 , 499.20 , 625.73 , 632.37 , 617.76 
4022,PBN & MTN,On Road,, 246.6 , -   , -   , -   ,0,0, 246.62 , 246.62 , 246.62 , 246.62 , 246.62 
4023,PBN & MTN,On Road,, 64.2 , -   , -   , -   ,1,0, 72.50 , 72.50 , 72.50 , 72.50 , 72.50 
4024,PBN & MTN,On Road,, 19.1 , 656 , 45 , 41.2 ,0,0, 50.21 , 41.46 , 50.08 , 51.00 , 49.16 
4025,PBN & MTN,On Road,, 109.5 ," 3,112 ", 137 , 171.2 ,0,0, 271.46 , 224.01 , 271.13 , 276.58 , 264.72 
4026,PBN & MTN,On Road,, 419.8 , -   , -   , -   ,0,0, 419.77 , 419.77 , 419.77 , 419.77 , 419.77 
4027,PBN & MTN,On Road,, 42.6 ," 2,002 ", 106 , 129.4 ,0,0, 114.20 , 92.97 , 114.12 , 115.92 , 111.94 
4028,PBN & MTN,On Road,, 331.2 , -   , -   , -   ,0,0, 331.19 , 331.19 , 331.19 , 331.19 , 331.19 
4029,PBN & MTN,On Road,, 60.6 ," 7,675 ", 410 , 167.5 ,0,0, 182.29 , 144.33 , 181.88 , 184.13 , 179.87 
4030,PBN & MTN,On Road,, 81.3 , -   , -   , -   ,0,0, 81.32 , 81.32 , 81.32 , 81.32 , 81.32 
4031,PBN & MTN,On Road,, 29.4 , 3 , 0 , -   ,0,0, 29.40 , 29.40 , 29.40 , 29.40 , 29.40 
4032,PBN & MTN,On Road,, 291.0 , 711 , 78 , -   ,0,1, 324.67 , 291.03 , 324.46 , 330.60 , 317.01 
4033,PBN & MTN,On Road,, 108.4 ," 8,602 ", 553 , -   ,0,0, 205.21 , 143.81 , 204.74 , 208.87 , 200.39 
